customer_id,company,tenure_months,contract,monthly_charges,total_charges,mrr,payment_method,internet_service,tech_support,online_security,logins_last_30d,support_tickets_last_90d,features_used_pct,churned
CUST-0001,Pixel Labs,11,Two year,45.24,536.27,183,Bank transfer,Fiber optic,Yes,Yes,19,3,41.0,0
CUST-0002,NovaTech,72,One year,76.79,5499.62,332,Bank transfer,Fiber optic,No,No,20,1,30.0,0
CUST-0003,Pixel Labs,31,Month-to-month,112.05,3644.84,549,Credit card,DSL,Yes,No,16,1,56.0,0
CUST-0004,Skyward Tech,21,Month-to-month,98.64,2197.66,352,Bank transfer,Fiber optic,No,No internet,14,2,68.0,0
CUST-0005,Vortex Cloud,4,Two year,104.83,439.15,298,Credit card,No,No,No,9,3,52.0,0
CUST-0006,Apex Digital,4,Month-to-month,52.22,226.65,116,Bank transfer,No,No,No internet,20,3,60.0,1
CUST-0007,BrightPath,1,Month-to-month,40.26,39.83,76,Electronic check,DSL,No,No,11,4,85.0,1
CUST-0008,Quantum SaaS,48,Month-to-month,61.86,2775.16,115,Electronic check,Fiber optic,No,No,13,0,67.0,1
CUST-0009,BlueShift,22,Month-to-month,66.39,1328.49,175,Bank transfer,DSL,No,Yes,14,0,79.0,0
CUST-0010,TechVibe,29,One year,92.35,2542.35,459,Bank transfer,No,No,No,10,3,70.0,0
CUST-0011,DataFlow Inc,1,Two year,22.69,21.07,23,Electronic check,No,No,No,14,2,70.0,1
CUST-0012,FusionHub,72,Month-to-month,103.24,7519.43,185,Mailed check,Fiber optic,No internet,No,18,1,73.0,1
CUST-0013,BlueShift,42,Month-to-month,61.05,2402.53,107,Credit card,No,Yes,No,18,1,62.0,1
CUST-0014,Apex Digital,5,Month-to-month,54.33,246.6,210,Mailed check,Fiber optic,Yes,No,19,1,64.0,0
CUST-0015,Skyward Tech,4,Two year,39.7,144.06,96,Mailed check,Fiber optic,No,No,11,3,49.0,0
CUST-0016,Streamline Co,4,One year,23.63,100.79,67,Mailed check,DSL,No internet,No,16,1,59.0,0
CUST-0017,Acme Corp,8,Month-to-month,85.58,697.16,136,Electronic check,Fiber optic,No,Yes,14,0,24.0,1
CUST-0018,NetPulse,17,Two year,66.83,1103.86,175,Mailed check,Fiber optic,Yes,No internet,20,1,80.0,0
CUST-0019,Prism Analytics,13,Two year,32.75,459.32,46,Mailed check,Fiber optic,No,Yes,14,5,40.0,0
CUST-0020,BlueShift,8,Two year,32.62,238.53,102,Electronic check,Fiber optic,No,Yes,11,1,63.0,0
CUST-0021,BrightPath,22,Two year,56.61,1365.06,79,Bank transfer,No,Yes,No,15,0,70.0,0
CUST-0022,DataFlow Inc,3,Month-to-month,106.73,327.64,444,Mailed check,DSL,No,No,19,3,24.0,0
CUST-0023,NetPulse,8,One year,58.51,438.45,191,Credit card,Fiber optic,No internet,No,18,2,45.0,0
CUST-0024,TechVibe,10,Month-to-month,27.42,284.02,107,Credit card,Fiber optic,No,Yes,15,1,44.0,0
CUST-0025,ZenithOS,14,Two year,58.86,867.45,157,Electronic check,Fiber optic,No,No,15,1,53.0,0
CUST-0026,Streamline Co,36,One year,58.18,2064.88,147,Bank transfer,Fiber optic,No,No,21,4,55.0,1
CUST-0027,Acme Corp,5,One year,20.0,107.23,28,Mailed check,DSL,Yes,No internet,24,1,75.0,0
CUST-0028,NetPulse,17,One year,63.64,1006.31,197,Credit card,DSL,No internet,No internet,16,2,68.0,1
CUST-0029,Apex Digital,21,Month-to-month,59.23,1188.81,181,Electronic check,Fiber optic,No,No,10,2,46.0,0
CUST-0030,Streamline Co,1,One year,82.41,75.71,237,Bank transfer,Fiber optic,No,No,9,1,29.0,1
CUST-0031,Quantum SaaS,22,Two year,111.22,2305.35,441,Bank transfer,DSL,No,No,14,4,33.0,0
CUST-0032,NovaTech,4,Two year,93.16,353.17,403,Electronic check,Fiber optic,No,Yes,11,1,29.0,0
CUST-0033,TechVibe,1,Month-to-month,58.28,63.15,233,Electronic check,Fiber optic,No,No,14,0,90.0,0
CUST-0034,BlueShift,71,Month-to-month,37.34,2427.44,59,Bank transfer,Fiber optic,Yes,No,17,2,83.0,0
CUST-0035,NetPulse,72,Month-to-month,120.0,8514.57,419,Bank transfer,No,No internet,No internet,15,0,30.0,0
CUST-0036,Pixel Labs,39,One year,66.48,2609.52,88,Electronic check,DSL,No internet,Yes,12,3,41.0,0
CUST-0037,Quantum SaaS,8,Two year,65.35,564.49,247,Bank transfer,DSL,No,No,11,0,71.0,0
CUST-0038,NovaTech,2,Month-to-month,64.4,141.62,163,Mailed check,Fiber optic,No internet,No,12,5,13.0,0
CUST-0039,NetPulse,27,One year,69.95,1984.36,107,Bank transfer,Fiber optic,Yes,No,18,3,52.0,0
CUST-0040,ZenithOS,13,Two year,61.39,873.21,273,Electronic check,Fiber optic,No,Yes,16,1,67.0,0
CUST-0041,ZenithOS,3,One year,50.66,160.71,175,Credit card,No,No,No internet,8,2,24.0,0
CUST-0042,NovaTech,16,One year,51.33,897.36,124,Electronic check,No,No,No,14,2,49.0,1
CUST-0043,Apex Digital,1,One year,64.18,66.84,72,Mailed check,No,No,No,17,2,67.0,0
CUST-0044,Streamline Co,57,One year,51.41,2684.08,162,Electronic check,Fiber optic,No,Yes,12,1,30.0,0
CUST-0045,Catalyst AI,7,Month-to-month,47.18,323.78,221,Electronic check,Fiber optic,Yes,No,14,4,29.0,0
CUST-0046,Acme Corp,26,One year,67.66,1810.74,229,Mailed check,Fiber optic,No,No,26,1,54.0,0
CUST-0047,TechVibe,8,One year,58.63,455.04,287,Electronic check,DSL,Yes,Yes,13,4,63.0,1
CUST-0048,NetPulse,17,Two year,102.6,1665.15,159,Credit card,Fiber optic,No,Yes,17,0,57.0,0
CUST-0049,CloudNine,18,One year,20.0,365.57,65,Electronic check,DSL,Yes,No internet,10,2,61.0,0
CUST-0050,Quantum SaaS,4,One year,92.29,401.17,387,Mailed check,No,Yes,Yes,19,2,87.0,0
CUST-0051,Streamline Co,72,Month-to-month,96.15,6278.95,298,Electronic check,Fiber optic,No,Yes,13,1,31.0,0
CUST-0052,Catalyst AI,35,Month-to-month,20.0,737.69,27,Electronic check,Fiber optic,No,No,14,4,42.0,0
CUST-0053,BlueShift,67,Month-to-month,56.43,3949.23,188,Electronic check,Fiber optic,No internet,No,14,2,63.0,1
CUST-0054,CloudNine,54,Month-to-month,55.71,3287.49,192,Mailed check,DSL,No,Yes,15,4,4.0,1
CUST-0055,Quantum SaaS,21,One year,29.81,679.94,117,Mailed check,DSL,No,No,21,2,52.0,0
CUST-0056,ZenithOS,61,Two year,45.55,2924.28,184,Mailed check,Fiber optic,No internet,Yes,22,3,21.0,0
CUST-0057,DataFlow Inc,2,Month-to-month,37.24,74.78,152,Mailed check,DSL,No,Yes,19,3,26.0,1
CUST-0058,CloudNine,5,Month-to-month,108.81,511.87,398,Bank transfer,Fiber optic,Yes,Yes,6,1,76.0,1
CUST-0059,DataFlow Inc,1,Two year,88.39,89.19,165,Electronic check,No,No,No internet,15,0,6.0,1
CUST-0060,FusionHub,9,Month-to-month,96.79,917.34,253,Mailed check,No,No internet,Yes,17,1,56.0,0
CUST-0061,Vortex Cloud,11,One year,83.04,985.72,341,Credit card,Fiber optic,No,Yes,25,2,39.0,0
CUST-0062,Acme Corp,7,One year,36.77,272.3,177,Mailed check,DSL,Yes,No,10,2,27.0,0
CUST-0063,Streamline Co,42,One year,51.89,2046.55,68,Bank transfer,No,Yes,No internet,17,4,58.0,0
CUST-0064,DataFlow Inc,10,Month-to-month,77.23,787.7,243,Electronic check,No,Yes,Yes,14,1,54.0,0
CUST-0065,DataFlow Inc,7,Month-to-month,34.45,233.06,78,Bank transfer,DSL,No,No,8,3,63.0,0
CUST-0066,ZenithOS,18,One year,82.82,1344.43,157,Bank transfer,Fiber optic,No,Yes,15,4,46.0,1
CUST-0067,Apex Digital,3,One year,58.99,166.36,178,Mailed check,DSL,Yes,No,15,4,20.0,1
CUST-0068,Catalyst AI,38,Month-to-month,55.63,1950.41,190,Credit card,No,No internet,No,17,1,83.0,0
CUST-0069,NovaTech,1,One year,82.77,88.44,86,Electronic check,No,No,No,20,2,30.0,0
CUST-0070,FusionHub,72,Month-to-month,76.11,5215.25,314,Electronic check,DSL,No,No,15,3,44.0,0
CUST-0071,BlueShift,35,One year,55.98,1874.93,240,Bank transfer,No,No internet,No,16,0,92.0,0
CUST-0072,Apex Digital,5,Month-to-month,93.98,513.12,457,Credit card,Fiber optic,Yes,Yes,14,1,23.0,1
CUST-0073,NovaTech,1,Two year,37.97,37.05,65,Electronic check,No,No,No,10,2,39.0,0
CUST-0074,Streamline Co,40,Month-to-month,80.4,2900.57,272,Electronic check,Fiber optic,No,Yes,15,3,21.0,1
CUST-0075,Acme Corp,29,Month-to-month,79.83,2214.99,216,Electronic check,No,No internet,No,14,2,52.0,0
CUST-0076,Catalyst AI,31,Month-to-month,57.26,1639.91,134,Electronic check,DSL,No,No internet,20,1,52.0,1
CUST-0077,CoreStack,35,Month-to-month,73.15,2356.87,239,Bank transfer,DSL,Yes,No internet,9,1,16.0,1
CUST-0078,CloudNine,1,Two year,33.72,30.87,139,Mailed check,DSL,No internet,No internet,20,0,64.0,0
CUST-0079,DataFlow Inc,10,Two year,88.1,897.43,96,Electronic check,No,Yes,No,18,2,50.0,0
CUST-0080,Streamline Co,2,Month-to-month,60.38,113.26,295,Mailed check,No,No internet,No,16,2,34.0,1
CUST-0081,ZenithOS,47,Month-to-month,51.93,2372.98,220,Electronic check,No,No internet,Yes,19,1,56.0,1
CUST-0082,FusionHub,23,One year,91.23,2250.21,365,Electronic check,No,Yes,No,17,2,51.0,0
CUST-0083,Quantum SaaS,9,Two year,47.39,420.06,192,Bank transfer,DSL,No,No,10,3,48.0,0
CUST-0084,BlueShift,1,One year,29.79,32.27,76,Credit card,Fiber optic,Yes,No,16,2,77.0,0
CUST-0085,Helix Software,8,Month-to-month,26.08,208.55,104,Credit card,DSL,No,No,14,2,72.0,0
CUST-0086,FusionHub,9,Month-to-month,80.15,706.76,204,Electronic check,DSL,No,Yes,17,3,66.0,0
CUST-0087,Vortex Cloud,31,One year,32.99,1073.9,152,Credit card,DSL,No,No,9,2,88.0,0
CUST-0088,DataFlow Inc,24,Month-to-month,108.87,2389.83,186,Bank transfer,Fiber optic,No internet,No internet,15,2,51.0,0
CUST-0089,CoreStack,52,One year,20.0,954.61,43,Bank transfer,DSL,No,Yes,20,1,56.0,0
CUST-0090,Vortex Cloud,15,Month-to-month,107.41,1660.12,344,Mailed check,DSL,No,No,15,4,67.0,1
CUST-0091,BrightPath,3,One year,70.28,210.29,160,Mailed check,DSL,No internet,No internet,14,5,45.0,0
CUST-0092,NetPulse,29,Month-to-month,62.58,1920.23,169,Electronic check,DSL,No internet,No,15,1,58.0,1
CUST-0093,Quantum SaaS,34,One year,51.38,1892.36,153,Electronic check,No,Yes,No,12,1,22.0,0
CUST-0094,Catalyst AI,19,Month-to-month,74.98,1392.81,332,Electronic check,Fiber optic,No internet,Yes,15,4,26.0,0
CUST-0095,Streamline Co,35,One year,64.06,2285.33,198,Electronic check,No,Yes,No,9,2,84.0,0
CUST-0096,CloudNine,16,Month-to-month,92.58,1481.49,227,Mailed check,Fiber optic,No internet,No internet,23,4,19.0,1
CUST-0097,CloudNine,17,One year,67.86,1264.74,135,Bank transfer,DSL,Yes,No,11,3,62.0,0
CUST-0098,Vortex Cloud,13,One year,68.76,953.07,181,Mailed check,Fiber optic,Yes,No,13,2,57.0,1
CUST-0099,CoreStack,1,One year,55.91,60.51,171,Electronic check,DSL,No,Yes,13,2,37.0,0
CUST-0100,TechVibe,2,One year,63.58,120.91,253,Credit card,DSL,No,Yes,16,0,6.0,1
CUST-0101,Catalyst AI,1,One year,72.7,76.66,108,Credit card,DSL,No,No internet,13,2,88.0,0
CUST-0102,Skyward Tech,24,Two year,22.25,508.95,42,Bank transfer,DSL,Yes,No,12,0,76.0,0
CUST-0103,Apex Digital,9,Month-to-month,31.3,265.29,79,Credit card,DSL,No,No,18,4,50.0,1
CUST-0104,DataFlow Inc,17,Two year,83.58,1547.11,204,Mailed check,Fiber optic,No internet,Yes,17,3,52.0,0
CUST-0105,Helix Software,57,Month-to-month,69.27,3568.8,178,Credit card,Fiber optic,No,No,14,3,78.0,0
CUST-0106,CloudNine,6,Month-to-month,60.4,396.13,252,Electronic check,DSL,Yes,No internet,13,0,24.0,1
CUST-0107,Acme Corp,12,Month-to-month,65.46,730.42,150,Mailed check,DSL,No,No,11,4,75.0,0
CUST-0108,Acme Corp,33,Month-to-month,73.69,2587.13,222,Electronic check,No,Yes,Yes,13,2,56.0,1
CUST-0109,Prism Analytics,6,One year,51.51,295.21,180,Electronic check,DSL,No internet,No,13,1,74.0,0
CUST-0110,CloudNine,1,One year,45.54,44.18,88,Electronic check,DSL,No internet,No,10,1,32.0,0
CUST-0111,Skyward Tech,8,One year,69.9,527.52,271,Bank transfer,No,No,No,15,3,56.0,0
CUST-0112,Apex Digital,4,One year,40.54,164.93,129,Bank transfer,DSL,No,No internet,22,2,68.0,0
CUST-0113,Catalyst AI,63,Month-to-month,75.21,4594.28,210,Bank transfer,DSL,No,No,12,1,77.0,1
CUST-0114,CoreStack,39,Month-to-month,22.44,902.71,95,Electronic check,Fiber optic,No,No internet,12,2,45.0,0
CUST-0115,Helix Software,24,Month-to-month,90.73,1966.58,179,Credit card,DSL,No internet,No,7,1,31.0,0
CUST-0116,CoreStack,49,Month-to-month,76.81,3435.78,348,Bank transfer,Fiber optic,No,Yes,15,2,48.0,0
CUST-0117,ZenithOS,39,Month-to-month,71.4,2561.64,232,Mailed check,No,No,No,10,3,69.0,1
CUST-0118,Pixel Labs,4,Month-to-month,89.57,352.48,308,Bank transfer,DSL,No,Yes,13,2,49.0,1
CUST-0119,ZenithOS,53,One year,106.64,6007.76,480,Electronic check,Fiber optic,No,No internet,15,1,5.0,1
CUST-0120,Catalyst AI,18,One year,90.36,1752.75,386,Electronic check,Fiber optic,No internet,No,14,0,33.0,0
CUST-0121,Skyward Tech,39,Two year,20.0,740.19,68,Credit card,DSL,No,No,17,0,39.0,0
CUST-0122,FusionHub,54,Two year,33.01,1809.05,132,Electronic check,Fiber optic,No,No,15,1,26.0,0
CUST-0123,BrightPath,9,One year,49.38,468.27,135,Mailed check,DSL,Yes,Yes,19,2,48.0,0
CUST-0124,TechVibe,2,Month-to-month,65.65,125.75,209,Credit card,Fiber optic,No,No,15,2,69.0,1
CUST-0125,BrightPath,6,One year,77.94,459.13,97,Bank transfer,DSL,No,No,16,2,83.0,1
CUST-0126,Apex Digital,13,One year,46.86,612.1,64,Electronic check,Fiber optic,Yes,Yes,6,1,21.0,1
CUST-0127,NovaTech,40,Month-to-month,69.67,2583.29,301,Electronic check,DSL,Yes,No,11,1,52.0,1
CUST-0128,Apex Digital,47,Month-to-month,46.12,1962.14,57,Electronic check,No,No,Yes,18,2,62.0,1
CUST-0129,CloudNine,1,Two year,49.71,46.26,83,Bank transfer,DSL,No,No,10,0,74.0,0
CUST-0130,BlueShift,17,Month-to-month,29.83,519.98,125,Mailed check,Fiber optic,No,No,12,1,50.0,1
CUST-0131,Quantum SaaS,12,One year,41.92,460.14,42,Electronic check,Fiber optic,Yes,Yes,12,3,76.0,0
CUST-0132,CloudNine,6,One year,31.21,175.64,66,Credit card,Fiber optic,No,No internet,7,0,54.0,0
CUST-0133,DataFlow Inc,3,Month-to-month,40.6,117.85,135,Mailed check,Fiber optic,Yes,Yes,7,0,57.0,0
CUST-0134,BlueShift,9,Month-to-month,91.34,752.66,309,Electronic check,Fiber optic,No,Yes,15,1,46.0,0
CUST-0135,DataFlow Inc,68,Month-to-month,41.27,2633.32,170,Mailed check,Fiber optic,Yes,Yes,16,1,27.0,0
CUST-0136,Prism Analytics,9,Month-to-month,120.0,1168.83,363,Bank transfer,No,Yes,No,11,0,67.0,0
CUST-0137,Vortex Cloud,17,Month-to-month,77.33,1188.22,235,Electronic check,DSL,Yes,No,16,2,23.0,0
CUST-0138,NetPulse,29,Two year,69.62,2080.94,272,Electronic check,Fiber optic,No,No,19,2,79.0,1
CUST-0139,BlueShift,10,Month-to-month,43.54,425.33,130,Credit card,No,Yes,Yes,10,2,43.0,0
CUST-0140,TechVibe,72,One year,82.51,6145.85,283,Mailed check,No,No,Yes,17,0,66.0,0
CUST-0141,TechVibe,72,Month-to-month,50.61,3708.56,232,Mailed check,No,No,No,17,3,39.0,0
CUST-0142,TechVibe,6,Two year,68.05,385.72,177,Mailed check,Fiber optic,No,No internet,12,0,61.0,0
CUST-0143,Apex Digital,16,Month-to-month,120.0,2053.33,305,Electronic check,DSL,No,No internet,11,2,28.0,1
CUST-0144,Skyward Tech,8,Month-to-month,62.6,499.99,63,Electronic check,Fiber optic,No internet,Yes,17,3,58.0,0
CUST-0145,CoreStack,8,Two year,93.73,798.21,324,Mailed check,Fiber optic,Yes,No,22,4,42.0,0
CUST-0146,BlueShift,1,Two year,47.42,46.53,53,Electronic check,Fiber optic,No,No internet,12,2,32.0,1
CUST-0147,Catalyst AI,22,Month-to-month,64.13,1547.62,193,Electronic check,Fiber optic,Yes,No,14,2,44.0,1
CUST-0148,Prism Analytics,16,Two year,109.27,1842.9,461,Credit card,No,Yes,No internet,15,1,75.0,0
CUST-0149,NetPulse,1,Month-to-month,49.33,53.93,158,Credit card,Fiber optic,No,Yes,14,4,38.0,1
CUST-0150,Catalyst AI,7,Month-to-month,110.31,774.38,229,Bank transfer,No,No,No internet,18,3,26.0,1
CUST-0151,Skyward Tech,57,Month-to-month,82.69,4688.53,343,Credit card,Fiber optic,No internet,No,10,3,70.0,1
CUST-0152,CoreStack,6,Month-to-month,50.94,321.26,106,Electronic check,DSL,No,No internet,13,2,87.0,1
CUST-0153,ZenithOS,3,One year,80.81,260.87,318,Credit card,Fiber optic,No internet,No,11,1,48.0,1
CUST-0154,Streamline Co,16,Month-to-month,89.31,1561.61,307,Electronic check,Fiber optic,Yes,No,9,3,62.0,0
CUST-0155,TechVibe,72,Month-to-month,80.55,5596.09,135,Credit card,DSL,Yes,No internet,18,1,57.0,0
CUST-0156,TechVibe,6,One year,25.74,163.67,119,Credit card,DSL,Yes,Yes,16,0,29.0,0
CUST-0157,ZenithOS,26,One year,46.82,1146.87,84,Bank transfer,No,Yes,No,13,3,77.0,0
CUST-0158,TechVibe,34,Month-to-month,58.81,2017.77,292,Credit card,DSL,No,No,17,2,55.0,0
CUST-0159,BrightPath,6,One year,63.14,354.58,65,Bank transfer,Fiber optic,No,No,22,3,64.0,0
CUST-0160,NovaTech,31,Month-to-month,80.52,2419.94,165,Electronic check,Fiber optic,Yes,No internet,15,3,41.0,0
CUST-0161,Acme Corp,11,One year,69.44,829.74,125,Mailed check,Fiber optic,No internet,Yes,18,0,66.0,1
CUST-0162,CloudNine,24,One year,31.62,705.17,33,Bank transfer,Fiber optic,No internet,No,11,3,39.0,0
CUST-0163,BlueShift,24,Two year,74.5,1835.35,293,Electronic check,DSL,Yes,No,18,2,64.0,0
CUST-0164,Helix Software,18,Month-to-month,80.26,1471.54,303,Bank transfer,Fiber optic,Yes,Yes,15,2,70.0,1
CUST-0165,NovaTech,2,Month-to-month,78.99,146.0,329,Credit card,Fiber optic,Yes,No,13,3,51.0,0
CUST-0166,Prism Analytics,43,Month-to-month,92.02,3819.14,187,Electronic check,Fiber optic,Yes,Yes,14,1,24.0,0
CUST-0167,CloudNine,9,Month-to-month,85.85,782.38,238,Bank transfer,DSL,Yes,No,16,1,46.0,0
CUST-0168,Catalyst AI,4,Month-to-month,76.48,286.78,278,Credit card,Fiber optic,No,No internet,19,2,66.0,0
CUST-0169,BlueShift,1,Two year,63.25,67.05,175,Credit card,DSL,Yes,No,10,1,59.0,0
CUST-0170,BlueShift,21,Month-to-month,23.48,539.64,89,Credit card,DSL,No,No,20,0,38.0,1
CUST-0171,Helix Software,27,Month-to-month,75.74,1928.32,268,Mailed check,DSL,No internet,No internet,13,2,52.0,1
CUST-0172,BlueShift,1,One year,70.19,65.79,102,Credit card,DSL,No,No,13,4,67.0,1
CUST-0173,Skyward Tech,17,Month-to-month,71.79,1209.43,296,Bank transfer,No,No internet,No internet,8,2,58.0,0
CUST-0174,NetPulse,6,One year,33.08,208.32,128,Electronic check,DSL,Yes,No,16,0,31.0,1
CUST-0175,Catalyst AI,24,Month-to-month,37.97,871.48,138,Mailed check,No,No,No internet,12,1,54.0,0
CUST-0176,TechVibe,4,Month-to-month,91.33,330.24,148,Bank transfer,No,No,Yes,20,5,63.0,1
CUST-0177,Prism Analytics,28,Month-to-month,64.01,1807.06,133,Electronic check,Fiber optic,Yes,No internet,19,4,38.0,1
CUST-0178,ZenithOS,11,Month-to-month,82.04,984.85,211,Bank transfer,DSL,Yes,Yes,18,4,13.0,1
CUST-0179,CoreStack,66,Two year,65.71,4242.56,139,Bank transfer,Fiber optic,No,No,11,4,68.0,0
CUST-0180,Apex Digital,3,Month-to-month,65.74,194.07,126,Electronic check,Fiber optic,No,No,20,3,53.0,0
CUST-0181,ZenithOS,10,One year,88.46,967.56,373,Bank transfer,Fiber optic,No,No,10,2,56.0,1
CUST-0182,DataFlow Inc,2,Month-to-month,52.1,108.26,185,Bank transfer,DSL,No,No,24,1,54.0,0
CUST-0183,BrightPath,62,Month-to-month,67.4,4361.98,220,Mailed check,Fiber optic,No,No,13,1,57.0,1
CUST-0184,TechVibe,50,Two year,53.44,2705.51,102,Electronic check,No,Yes,No,18,1,69.0,0
CUST-0185,Acme Corp,7,Month-to-month,54.14,414.95,253,Electronic check,Fiber optic,No,Yes,19,0,87.0,1
CUST-0186,NetPulse,25,One year,57.27,1485.83,101,Mailed check,DSL,Yes,Yes,15,1,52.0,0
CUST-0187,CloudNine,40,Two year,70.55,3044.96,295,Credit card,Fiber optic,Yes,Yes,14,4,85.0,0
CUST-0188,CloudNine,19,One year,53.03,1047.75,258,Electronic check,DSL,No internet,No,13,0,36.0,0
CUST-0189,Quantum SaaS,18,Two year,96.39,1816.61,377,Bank transfer,DSL,No,Yes,15,1,7.0,0
CUST-0190,DataFlow Inc,6,Month-to-month,42.63,245.06,212,Electronic check,No,No,No,13,3,60.0,0
CUST-0191,Pixel Labs,2,Month-to-month,60.33,115.92,217,Electronic check,DSL,No,No,17,1,64.0,1
CUST-0192,Acme Corp,54,Month-to-month,54.01,3081.61,101,Credit card,DSL,No,Yes,18,2,54.0,0
CUST-0193,Vortex Cloud,55,One year,101.17,5338.11,184,Bank transfer,DSL,Yes,No,17,1,80.0,0
CUST-0194,Acme Corp,24,Two year,69.91,1698.9,161,Electronic check,No,Yes,No internet,16,2,47.0,0
CUST-0195,Apex Digital,9,Month-to-month,90.8,776.23,93,Mailed check,Fiber optic,Yes,Yes,15,3,48.0,0
CUST-0196,CoreStack,10,One year,27.86,296.26,104,Electronic check,Fiber optic,No,No,8,1,56.0,0
CUST-0197,Apex Digital,31,Month-to-month,71.68,2048.98,149,Mailed check,Fiber optic,No,No,24,5,48.0,0
CUST-0198,TechVibe,54,One year,87.24,5021.36,372,Bank transfer,DSL,No,No,15,5,91.0,0
CUST-0199,ZenithOS,52,Month-to-month,67.06,3558.77,163,Electronic check,Fiber optic,No,No,15,1,68.0,1
CUST-0200,BrightPath,36,Two year,91.64,3092.46,268,Electronic check,Fiber optic,No internet,No,12,0,63.0,0
